﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,425","5","0","1,430"
"10007849","Abertay University","0","210","5","0","215"
"10007856","Aberystwyth University","0","745","5","0","750"
"10000163","AECC University College","0","55","0","0","55"
"10000291","Anglia Ruskin University","10","870","20","0","900"
"10007759","Aston University","0","845","0","0","845"
"10007857","Bangor University","5","990","25","0","1,020"
"10000571","Bath Spa University","5","670","0","0","675"
"10007850","The University of Bath","0","1,465","0","0","1,465"
"10007152","University of Bedfordshire","0","525","0","0","530"
"10005343","Queen's University Belfast","0","1,880","25","0","1,905"
"10007760","Birkbeck College","0","1,200","0","0","1,200"
"10007140","Birmingham City University","5","1,875","25","0","1,910"
"10006840","The University of Birmingham","15","3,965","40","0","4,020"
"10000712","University College Birmingham","0","295","0","0","295"
"10007832","Birmingham Newman University","0","140","5","0","145"
"10007811","Bishop Grosseteste University","0","110","0","0","110"
"10006841","The University of Bolton","0","335","30","0","365"
"10000385","The Arts University Bournemouth","0","380","0","0","380"
"10000824","Bournemouth University","0","935","0","0","935"
"10007785","The University of Bradford","0","545","0","0","545"
"10000886","The University of Brighton","5","1,655","5","0","1,665"
"10000936","The University College of Osteopathy","5","95","0","0","100"
"10007786","The University of Bristol","0","3,285","0","0","3,285"
"10000961","Brunel University London","5","1,135","0","0","1,145"
"10000975","Buckinghamshire New University","0","375","20","0","395"
"10007787","The University of Buckingham","10","160","0","0","175"
"10007788","The University of Cambridge","10","6,205","0","0","6,215"
"10003324","The Institute of Cancer Research","0","655","10","0","665"
"10001143","Canterbury Christ Church University","5","750","0","0","755"
"10007814","Cardiff University","45","3,270","15","0","3,330"
"10007854","Cardiff Metropolitan University","0","710","5","0","715"
"10007141","The University of Central Lancashire","0","1,540","70","0","1,610"
"10007848","University of Chester","0","660","0","0","665"
"10007137","The University of Chichester","0","520","0","0","520"
"10001478","City, University of London","0","2,115","5","0","2,125"
"10001653","Conservatoire for Dance and Drama","0","310","0","0","310"
"10007761","Courtauld Institute of Art","0","40","0","0","40"
"10001726","Coventry University","5","2,615","10","0","2,630"
"10007822","Cranfield University","0","670","10","0","680"
"10006427","University for the Creative Arts","0","305","60","0","365"
"10007842","University of Cumbria","0","485","0","0","485"
"10001883","De Montfort University","0","1,535","5","0","1,540"
"10007851","University of Derby","0","1,415","45","0","1,460"
"10007852","The University of Dundee","0","1,400","5","0","1,405"
"10007143","University of Durham","0","1,720","0","0","1,720"
"10007789","The University of East Anglia","0","1,995","0","0","1,995"
"10007144","The University of East London","0","830","0","0","830"
"10007823","Edge Hill University","0","1,035","0","0","1,040"
"10007772","Edinburgh Napier University","5","830","5","0","840"
"10007790","The University of Edinburgh","5","7,255","50","0","7,310"
"10007791","The University of Essex","0","1,310","5","0","1,320"
"10007792","The University of Exeter","5","2,805","0","0","2,810"
"10008640","Falmouth University","0","285","25","0","310"
"10004511","The National Film and Television School","0","35","0","0","35"
"10007762","Glasgow Caledonian University","0","740","0","0","745"
"10002681","Glasgow School of Art","0","140","85","0","225"
"10007794","The University of Glasgow","0","4,255","15","0","4,275"
"10007145","University of Gloucestershire","0","605","5","0","610"
"10002718","Goldsmiths College","0","1,160","0","0","1,160"
"10007146","The University of Greenwich","5","1,265","5","0","1,275"
"10007825","Guildhall School of Music and Drama","15","735","15","0","765"
"10040812","Harper Adams University","0","190","0","0","190"
"10080811","Hartpury University","0","75","0","0","80"
"10007764","Heriot-Watt University","0","805","15","0","820"
"10007147","University of Hertfordshire","0","1,960","0","0","1,960"
"10007148","The University of Huddersfield","0","925","0","0","925"
"10007149","The University of Hull","0","1,000","25","0","1,025"
"10003270","Imperial College of Science, Technology and Medicine","5","4,380","5","0","4,390"
"10007767","Keele University","0","795","10","0","805"
"10007150","The University of Kent","5","1,515","0","0","1,520"
"10003645","King's College London","0","5,200","25","0","5,220"
"10003678","Kingston University","5","980","35","0","1,020"
"10007768","The University of Lancaster","5","2,095","0","0","2,100"
"10003854","Leeds Arts University","0","165","5","0","170"
"10003861","Leeds Beckett University","0","1,300","0","0","1,300"
"10034449","Leeds Conservatoire","0","180","0","0","180"
"10007795","The University of Leeds","10","3,770","5","0","3,785"
"10003863","Leeds Trinity University","0","170","0","0","170"
"10007796","The University of Leicester","5","1,695","10","0","1,705"
"10007151","The University of Lincoln","0","1,335","0","0","1,335"
"10003956","Liverpool Hope University","5","300","0","0","305"
"10003957","Liverpool John Moores University","0","1,500","50","0","1,550"
"10003945","The Liverpool Institute for Performing Arts","0","85","0","0","85"
"10006842","The University of Liverpool","5","2,990","10","0","3,005"
"10003958","Liverpool School of Tropical Medicine","0","225","0","0","225"
"10007162","University of the Arts, London","0","2,215","0","0","2,215"
"10007769","London Business School","5","115","0","0","120"
"10007797","University of London (Institutes and activities)","5","95","0","0","100"
"10004048","London Metropolitan University","5","415","0","0","420"
"10004078","London South Bank University","10","1,075","45","0","1,125"
"10004063","London School of Economics and Political Science","0","1,725","0","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","0","965","0","0","965"
"10004113","Loughborough University","0","1,595","55","0","1,650"
"10004180","The Manchester Metropolitan University","5","2,635","85","0","2,725"
"10007798","The University of Manchester","5","5,075","0","0","5,080"
"10004351","Middlesex University","10","1,010","5","0","1,030"
"10007799","Newcastle University","20","2,950","35","0","3,010"
"10007138","The University of Northampton","10","825","0","0","835"
"10001282","University of Northumbria at Newcastle","0","1,480","0","0","1,480"
"10004775","Norwich University of the Arts","0","210","0","0","210"
"10007154","University of Nottingham","0","3,485","10","0","3,495"
"10004797","The Nottingham Trent University","5","2,180","0","0","2,185"
"10007773","The Open University","0","5,005","0","0","5,005"
"10004930","Oxford Brookes University","5","1,355","20","0","1,380"
"10007774","The University of Oxford","0","6,890","10","0","6,905"
"10005127","Arts University Plymouth","0","135","0","0","135"
"10007801","University of Plymouth","10","1,210","30","0","1,250"
"10007155","The University of Portsmouth","0","1,690","10","0","1,705"
"10005337","Queen Margaret University, Edinburgh","0","260","0","0","260"
"10007775","Queen Mary University of London","0","3,210","25","0","3,235"
"10005389","Ravensbourne University London","0","245","0","0","245"
"10007802","The University of Reading","20","1,905","0","0","1,925"
"10005500","Robert Gordon University","0","655","0","0","655"
"10007776","Roehampton University","0","550","15","0","570"
"10005523","Rose Bruford College of Theatre and Performance","0","70","0","0","70"
"10007835","Royal Academy of Music","0","305","0","0","305"
"10005545","Royal Agricultural University","0","55","0","0","60"
"10007777","Royal College of Art","0","175","0","0","175"
"10007778","Royal College of Music","0","280","0","0","280"
"10005561","Royal Conservatoire of Scotland","0","335","0","0","340"
"10007816","The Royal Central School of Speech and Drama","0","85","0","0","85"
"10005553","Royal Holloway and Bedford New College","0","1,145","0","0","1,150"
"10007837","Royal Northern College of Music","0","325","0","0","325"
"10007779","The Royal Veterinary College","0","315","5","0","315"
"10007803","The University of St. Andrews","0","1,225","0","0","1,225"
"10007782","St George's, University of London","5","560","0","0","565"
"10008026","St Mary's University College","0","65","0","0","65"
"10007843","St Mary's University, Twickenham","25","365","5","0","395"
"10007156","The University of Salford","0","1,030","0","0","1,035"
"10007780","SOAS University of London","5","695","0","0","700"
"10005700","SRUC","30","325","50","0","405"
"10005790","Sheffield Hallam University","0","2,130","0","0","2,130"
"10007157","The University of Sheffield","0","3,490","5","0","3,495"
"10006022","Solent University","0","680","5","0","685"
"10007158","The University of Southampton","5","2,725","5","0","2,735"
"10006299","Staffordshire University","15","745","15","0","775"
"10007804","The University of Stirling","5","1,035","5","0","1,045"
"10037449","University of St Mark and St John","0","90","0","0","90"
"10008010","Stranmillis University College","0","55","0","0","55"
"10007805","The University of Strathclyde","0","1,690","0","0","1,695"
"10014001","University of Suffolk","0","225","0","0","225"
"10007159","The University of Sunderland","0","940","0","0","940"
"10007160","The University of Surrey","10","1,455","5","0","1,470"
"10007806","The University of Sussex","0","1,995","5","0","2,000"
"10007855","Swansea University","0","1,730","0","0","1,730"
"10007161","Teesside University","0","720","0","0","720"
