,Enrolment,Department
AC100,384,AC
AC102,129,AC
AC103,77,AC
AC104,95,AC
AC211,216,AC
AC310,132,AC
AC330,206,AC
AC340,35,AC
AN100,83,AN
AN101,70,AN
AN102,50,AN
AN200,51,AN
AN205,12,AN
AN221,24,AN
AN223,34,AN
AN226,53,AN
AN237,18,AN
AN244,31,AN
AN256,33,AN
AN274,24,AN
AN275,19,AN
AN298,31,AN
AN300,38,AN
AN301,33,AN
EC100,350,EC
EC102,735,EC
EC201,413,EC
EC202,209,EC
EC210,583,EC
EC220,293,EC
EC221,101,EC
EC230,129,EC
EC301,11,EC
EC302,24,EC
EC303,29,EC
EC307,47,EC
EC309,18,EC
EC310,38,EC
EC311,52,EC
EC313,105,EC
EC315,146,EC
EC317,106,EC
EC319,13,EC
EC321,83,EC
EC325,156,EC
EC331,10,EC
EC333,36,EC
EH101,180,EH
EH102,40,EH
EH204,66,EH
EH207,77,EH
EH211,35,EH
EH237,69,EH
EH238,32,EH
EH240,86,EH
EH304,13,EH
EH307,14,EH
EH308,19,EH
EH325,12,EH
EH326,8,EH
EH327,4,EH
EH390,44,EH
FM212,656,FM
FM300,279,FM
FM320,60,FM
GI200,12,GI
GV100,280,GV
GV101,232,GV
GV225,63,GV
GV227,39,GV
GV245,66,GV
GV247,43,GV
GV248,48,GV
GV249,10,GV
GV251,46,GV
GV262,81,GV
GV263,34,GV
GV264,47,GV
GV302,20,GV
GV308,3,GV
GV309,21,GV
GV311,20,GV
GV312,15,GV
GV313,23,GV
GV314,14,GV
GV316,6,GV
GV335,9,GV
GV390,21,GV
GY100,73,GY
GY103,46,GY
GY120,35,GY
GY121,70,GY
GY140,34,GY
GY200,23,GY
GY201,30,GY
GY202,90,GY
GY205,19,GY
GY220,26,GY
GY222,82,GY
GY240,17,GY
GY244,31,GY
GY2A0,40,GY
GY300,50,GY
GY301,22,GY
GY302,28,GY
GY303,17,GY
GY305,33,GY
GY306,23,GY
GY324,38,GY
GY325,26,GY
GY350,41,GY
HY113,114,HY
HY116,176,HY
HY118,38,HY
HY200,14,HY
HY203,66,HY
HY206,58,HY
HY221,21,HY
HY226,25,HY
HY232,18,HY
HY235,70,HY
HY238,19,HY
HY240,36,HY
HY242,41,HY
HY243,29,HY
HY300,41,HY
HY311,17,HY
HY315,14,HY
HY320,4,HY
HY321,30,HY
HY322,12,HY
HY323,16,HY
HY324,9,HY
HY325,23,HY
HY326,16,HY
IR100,149,IR
IR200,112,IR
IR202,128,IR
IR203,118,IR
IR204,38,IR
IR305,80,IR
IR312,20,IR
IR313,19,IR
IR314,14,IR
IR317,30,IR
IR318,15,IR
IR319,16,IR
IR321,30,IR
IR322,20,IR
IR347,12,IR
IR354,12,IR
IR355,14,IR
IR368,8,IR
IR369,10,IR
IR398,23,IR
LL104,202,LL
LL105,191,LL
LL106,199,LL
LL108,196,LL
LL109,192,LL
LL201,11,LL
LL202,73,LL
LL203,77,LL
LL204,27,LL
LL205,82,LL
LL207,39,LL
LL209,53,LL
LL210,46,LL
LL212,24,LL
LL221,47,LL
LL232,181,LL
LL233,78,LL
LL241,15,LL
LL242,14,LL
LL250,21,LL
LL251,46,LL
LL253,27,LL
LL257,21,LL
LL259,21,LL
LL272,14,LL
LL275,197,LL
LL278,71,LL
LL284,15,LL
LL293,23,LL
LL295,25,LL
LL298,1,LL
LL299,19,LL
LL300,29,LL
LL305,164,LL
LN100,4,LN
LN101,9,LN
LN102,5,LN
LN104,17,LN
LN110,9,LN
LN120,18,LN
LN121,15,LN
LN122,9,LN
LN130,16,LN
LN131,10,LN
LN132,13,LN
LN140,10,LN
LN142,8,LN
LN200,1,LN
LN210,4,LN
LN220,4,LN
LN230,8,LN
LN240,6,LN
LN250,27,LN
LN251,23,LN
LN252,14,LN
LN253,24,LN
LN270,14,LN
LN320,6,LN
LN330,5,LN
LN340,5,LN
MA100,581,MA
MA103,199,MA
MA107,409,MA
MA110,11,MA
MA203,158,MA
MA207,74,MA
MA208,65,MA
MA209,123,MA
MA210,46,MA
MA211,39,MA
MA212,291,MA
MA300,37,MA
MA301,100,MA
MA303,14,MA
MA305,10,MA
MA310,8,MA
MA313,21,MA
MA314,24,MA
MA315,7,MA
MA316,12,MA
MA317,12,MA
MA318,27,MA
MA319,17,MA
MG100,173,MG
MG101,139,MG
MG102,167,MG
MG103,50,MG
MG202,101,MG
MG205,80,MG
MG206,57,MG
MG207,156,MG
MG208,43,MG
MG209,58,MG
MG211,122,MG
MG228,16,MG
MG301,118,MG
MG302,15,MG
MG303,28,MG
MG305,15,MG
MG307,34,MG
MG308,28,MG
MG310,15,MG
MG311,30,MG
MG312,20,MG
MG313,16,MG
MG315,68,MG
PH101,219,PH
PH103,178,PH
PH201,25,PH
PH203,25,PH
PH213,6,PH
PH214,57,PH
PH217,12,PH
PH220,11,PH
PH221,28,PH
PH222,65,PH
PH225,43,PH
PH227,29,PH
PH228,22,PH
PH230,20,PH
PH232,19,PH
PH311,77,PH
PH399,27,PH
PS102,60,PS
SA100,44,SA
SA101,25,SA
SA103,17,SA
SA104,35,SA
SA105,28,SA
SA201,36,SA
SA217,24,SA
SA218,8,SA
SA221,45,SA
SA223,30,SA
SA250,53,SA
SA302,6,SA
SA309,15,SA
SA320,47,SA
SA349,26,SA
SO100,64,SO
SO102,42,SO
SO110,91,SO
SO201,46,SO
SO203,15,SO
SO208,56,SO
SO211,29,SO
SO221,42,SO
SO224,27,SO
SO231,10,SO
SO302,26,SO
SO308,19,SO
SO309,11,SO
ST102,551,ST
ST107,406,ST
ST108,9,ST
ST201,58,ST
ST202,179,ST
ST205,47,ST
ST211,28,ST
ST226,119,ST
ST227,106,ST
ST300,61,ST
ST301,71,ST
ST302,86,ST
ST303,24,ST
ST304,93,ST
ST306,77,ST
ST307,18,ST
ST308,64,ST
ST312,16,ST
ST327,63,ST
ST330,80,ST
