﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007783","The University of Aberdeen","0","1,690","0","0","1,695"
"10007849","Abertay University","5","210","0","0","215"
"10007856","Aberystwyth University","0","715","5","0","720"
"10067853","ACM Guildford Limited*","0","115","0","0","115"
"10000163","AECC University College*","0","95","0","0","95"
"10032036","Amity Global Education*","0","0","0","0","0"
"10000291","Anglia Ruskin University","15","1,220","35","0","1,270"
"10005451","Arden University*","0","780","0","0","780"
"10007759","Aston University","10","1,000","0","0","1,015"
"10038772","British Academy of Jewellery Limited*","0","25","0","0","25"
"10007857","Bangor University","10","950","0","0","960"
"10000571","Bath Spa University","0","670","0","0","675"
"10007850","The University of Bath","0","1,615","0","0","1,615"
"10007152","University of Bedfordshire","0","560","5","0","565"
"10005343","Queen's University Belfast","5","2,105","15","0","2,120"
"10037544","BIMM University*","0","140","0","0","140"
"10007760","Birkbeck College","0","875","0","0","875"
"10007140","Birmingham City University*","5","2,045","20","0","2,065"
"10006840","The University of Birmingham*","5","4,200","0","0","4,205"
"10000712","University College Birmingham","10","310","0","0","320"
"10007832","Birmingham Newman University","0","145","5","0","150"
"10007811","Bishop Grosseteste University","0","125","0","0","125"
"10004061","Bloomsbury Institute*","0","40","0","0","40"
"10006841","The University of Bolton*","0","540","40","0","580"
"10000385","The Arts University Bournemouth","0","415","0","0","415"
"10000824","Bournemouth University","0","1,015","0","0","1,015"
"10007785","The University of Bradford","5","635","0","0","640"
"10000886","The University of Brighton","0","1,370","5","0","1,375"
"10000936","The University College of Osteopathy*","0","65","0","0","65"
"10007786","The University of Bristol","0","3,765","5","0","3,770"
"10000961","Brunel University London","5","1,470","0","0","1,475"
"10000975","Buckinghamshire New University*","0","590","30","0","625"
"10007788","The University of Cambridge","5","6,080","0","0","6,090"
"10003324","The Institute of Cancer Research","0","660","0","0","660"
"10001143","Canterbury Christ Church University","0","765","0","0","765"
"10007814","Cardiff University","25","3,940","10","0","3,975"
"10086359","Caspian School of Academics*","0","0","0","0","0"
"10007854","Cardiff Metropolitan University","0","885","0","0","885"
"10001264","Central School of Ballet*","0","15","0","0","15"
"10007141","The University of Central Lancashire","0","1,665","50","0","1,710"
"10024024","Central Film School London*","0","5","0","0","5"
"10007848","University of Chester","0","690","0","0","695"
"10007137","The University of Chichester*","0","545","0","0","545"
"10001386","Chicken Shed Theatre Company*","0","0","25","0","25"
"10001478","City, University of London","0","1,855","0","0","1,855"
"10007912","Cliff College*","0","10","0","0","10"
"10066502","The College of Health Ltd*","0","10","0","0","10"
"10007761","Courtauld Institute of Art*","0","85","0","0","85"
"10034324","Court Theatre Training Company Ltd*","0","10","0","0","10"
"10001726","Coventry University","10","2,415","0","0","2,425"
"10007822","Cranfield University","0","800","5","0","805"
"10006427","University for the Creative Arts*","0","400","45","0","445"
"10007842","University of Cumbria","0","505","0","0","510"
"10015688","David Game College Ltd*","0","35","0","0","35"
"10001883","De Montfort University","0","1,525","0","0","1,525"
"10007851","University of Derby","20","1,330","45","0","1,395"
"10007852","The University of Dundee","0","1,490","0","0","1,490"
"10007143","University of Durham","0","2,850","45","0","2,895"
"10007789","The University of East Anglia","0","2,090","0","0","2,090"
"10007144","The University of East London","20","1,115","5","0","1,140"
